date,btc_google_trends,btc_twitter_sentiment
2020-08-02,14,-0.107275
2020-08-09,13,-0.21345
2020-08-16,13,0.7179666666666668
2020-08-23,11,-0.42115
2020-08-30,11,0.34525
2020-09-06,11,0.5351
2020-09-13,10,0.41935
2020-09-20,9,0.11262499999999999
2020-09-27,8,0.06413333333333336
2020-10-04,9,0.5558500000000001
2020-10-11,9,0.6961
2020-10-18,12,0.47825
2020-10-25,13,0.3612
2020-11-01,14,0.7019500000000001
2020-11-08,15,0.2732
2020-11-15,21,0.54635
2020-11-22,23,-0.410175
2020-11-29,20,0.41944
2020-12-06,16,0.26475000000000004
2020-12-13,26,0.0873
2020-12-20,26,0.19256666666666666
2020-12-27,41,0.20118181818181818
2021-01-03,64,-0.036320000000000005
2021-01-10,62,0.05364545454545453
2021-01-17,40,0.0479
2021-01-24,37,0.4435
2021-01-31,33,0.5758333333333333
2021-02-07,58,0.06999999999999999
2021-02-14,56,0.2176375
2021-02-21,62,0.2341923076923077
2021-02-28,42,0.09263750000000001
2021-03-07,40,0.2895888888888889
2021-03-14,39,0.29912857142857147
2021-03-21,36,0.16977142857142855
2021-03-28,35,0.17866666666666667
2021-04-04,31,0.20983333333333332
2021-04-11,41,-0.10229999999999999
2021-04-18,51,-0.09364615384615385
2021-04-25,39,0.10320000000000001
2021-05-02,33,0.2891
2021-05-09,45,0.46423333333333333
2021-05-16,76,0.022095238095238105
2021-05-23,53,-0.14444285714285712
2021-05-30,39,0.03363000000000001
2021-06-06,40,0.11557499999999998
2021-06-13,31,0.039346153846153836
2021-06-20,37,0.3259166666666667
2021-06-27,27,-0.005910000000000004
2021-07-04,22,0.26448
2021-07-11,22,0.34077999999999997
2021-07-18,26,0.11665
2021-07-25,30,-0.07145714285714286
2021-08-01,24,0.13003333333333333
2021-08-08,28,0.23657500000000004
2021-08-15,24,0.13965
2021-08-22,25,0.08686666666666666
2021-08-29,22,0.2996888888888889
2021-09-05,29,0.49585
2021-09-12,21,0.20833333333333334
2021-09-19,25,0.146925
2021-09-26,21,0.5278533333333333
2021-10-03,25,0.47352857142857147
2021-10-10,28,0.5661666666666667
2021-10-17,36,0.13763333333333336
2021-10-24,28,0.2952
2021-10-31,23,0.45835
2021-11-07,28,0.49172222222222217
2021-11-14,28,0.21356923076923076
2021-11-21,27,0.21459166666666665
2021-11-28,28,-0.30306
2021-12-05,30,0.05309166666666667
2021-12-12,26,0.4450111111111112
2021-12-19,24,0.09034285714285716
2021-12-26,24,0.09534000000000001
2022-01-02,28,0.05833333333333335
2022-01-09,28,-0.024663636363636363
2022-01-16,30,0.16512727272727273
2022-01-23,38,-0.13954999999999998
2022-01-30,27,0.08884
2022-02-06,26,0.26748
2022-02-13,23,0.25249999999999995
2022-02-20,30,0.314325
